Rok,IČO,Název IČO,IČZ,Název IČZ,IČP,Název IČP,"Kód nasmlouvané odbornosti",Název odbornosti,Typ nasmlouvané odbornosti,"Kód ZP",Parametr,"Hodnota 2023"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,H,207,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,H,111,Počet OD,"4,936"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,,213,Počet lůžek,30
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,V,205,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,,201,Počet OD,399
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,,209,Počet OD,19
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,V,205,Počet OD,87
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,,213,Počet OD,10
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,,209,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,,211,Počet OD,769
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002012,Interna A,1H1,akutní LP vnitřního lékařství - interny - typ H,,211,Počet lůžek,30
