"rok_platnosti","icz_nazev","ico","icz","okres","typsub","STAN","JIP","LDN","OSET","OLU","HOSP","NIP","DIOP","pocet_od_akutni_stan","pocet_od_akutni_int","pocet_od_nasledna"
2015,"Nemocnice Jindřichův Hradec, a.s.","26095157","34011000","CZ0313","Léčebna pro dlouhodobě nemocné (LDN)",0,0,52,0,0,0,0,0,0,0,17336
2015,"Nemocnice Kadaň, s.r.o.","25479300","52120000","CZ0422","Nemocnice",160,12,0,0,0,0,0,0,35796,2001,0
2015,"Nemocnice Kadaň, s.r.o.","25479300","52121000","CZ0422","Léčebna pro dlouhodobě nemocné (LDN)",0,0,30,0,0,0,0,0,0,0,10055
2015,"Nemocnice Karviná - Ráj, příspěvková org","00844853","87001000","CZ0803","Nemocnice",274,37,100,0,0,0,10,5,75741,8797,24928
2015,"Nemocnice Kyjov, příspěvková organizace","00226912","75002000","CZ0645","Nemocnice",395,35,0,0,0,0,0,0,108591,10754,1370
2015,"Nemocnice Kyjov, příspěvková organizace","00226912","75007000","CZ0645","Nemocnice následné (ošetřovatelské) péče",0,0,0,48,0,0,0,0,0,0,14404
2015,"Nemocnice Kyjov, příspěvková organizace","00226912","75990345","CZ0645","Nemocnice",0,4,0,0,0,0,0,0,,,
2015,"Nemocnice Letovice p.o.","00387134","71107000","CZ0641","Léčebna pro dlouhodobě nemocné (LDN)",0,0,120,0,0,0,0,0,0,0,43739
2015,"Nemocnice Mariánské Lázně s.r.o.","26376709","41191000","CZ0411","Nemocnice následné (ošetřovatelské) péče",0,0,57,37,0,0,0,0,0,0,20797
2015,"Nemocnice Milosrdných bratří, p.o.","48512478","72048000","CZ0642","Nemocnice",205,18,0,0,0,0,0,0,61630,4992,0
2015,"Nemocnice Milosrdných bratří, p.o.","48512478","72052000","CZ0642","Léčebna pro dlouhodobě nemocné (LDN)",0,0,243,0,0,0,0,0,0,0,83567
2015,"Nemocnice Měšice - CIOP, z.s.","65401921","28004000","CZ0209","Nemocnice následné (ošetřovatelské) péče",0,0,0,80,0,0,0,0,0,0,40651
2015,"Nemocnice Na Františku","00879444","01003000","CZ0100","Nemocnice",132,17,0,0,0,0,0,0,30030,3096,0
2015,"Nemocnice Na Františku","00879444","01311000","CZ0100","Léčebna pro dlouhodobě nemocné (LDN)",0,0,26,0,0,0,0,0,0,0,7713
2015,"Nemocnice Na Homolce","00023884","05004000","CZ0100","Fakultní nemocnice",228,129,0,0,0,0,0,0,57731,35822,0
2015,"Nemocnice Na Pleši s.r.o.","27207064","30006000","CZ020B","Nemocnice",40,4,0,0,0,0,0,0,9227,50,0
2015,"Nemocnice Na Pleši s.r.o.","27207064","30522000","CZ020B","Odborné léčebné ústavy",0,0,0,0,105,0,0,0,0,0,33289
2015,"Nemocnice Na Pleši s.r.o.","27207064","30605000","CZ020B","Nemocnice následné (ošetřovatelské) péče",0,0,0,70,0,0,0,0,0,0,17127
2015,"Nemocnice Nové Město na Moravě, p. o.","00842001","84231000","CZ0635","Nemocnice",348,31,0,0,0,0,0,0,84360,8201,0
2015,"Nemocnice Nové Město na Moravě, p. o.","00842001","84425000","CZ0635","Léčebna pro dlouhodobě nemocné (LDN)",0,0,70,0,0,0,0,0,0,0,21900
2015,"Nemocnice Nymburk s.r.o.","28762886","27001000","CZ0208","Nemocnice",139,11,0,0,0,0,0,0,37562,2816,0
2015,"Nemocnice Nymburk s.r.o.","28762886","27017000","CZ0208","Nemocnice následné (ošetřovatelské) péče",0,0,0,0,20,0,0,0,,,
2015,"Nemocnice Ostrov s.r.o.","47714913","42010000","CZ0412","Nemocnice",182,7,0,0,0,0,30,20,38273,2006,13987
2015,"Nemocnice Ostrov s.r.o.","47714913","42452000","CZ0412","Léčebna pro dlouhodobě nemocné (LDN)",0,0,57,0,0,0,0,0,0,0,19480
2015,"Nemocnice Pardubického kraje, a.s.","27520536","62001000","CZ0531","Nemocnice",249,29,0,0,0,0,10,0,61024,6665,2954
2015,"Nemocnice Pardubického kraje, a.s.","27520536","62002000","CZ0531","Léčebna pro dlouhodobě nemocné (LDN)",0,0,89,0,0,0,0,10,0,0,27053
2015,"Nemocnice Pardubického kraje, a.s.","27520536","65001000","CZ0532","Nemocnice",788,78,0,0,0,0,0,0,169274,15681,0
2015,"Nemocnice Pardubického kraje, a.s.","27520536","65361000","CZ0532","Léčebna pro dlouhodobě nemocné (LDN)",0,0,66,0,0,0,0,0,0,0,18321
2015,"Nemocnice Pardubického kraje, a.s.","27520536","68001000","CZ0533","Nemocnice",269,14,0,0,0,0,0,0,58862,3838,0
2015,"Nemocnice Pardubického kraje, a.s.","27520536","68002000","CZ0533","Nemocnice",187,20,0,0,0,0,0,0,44480,5174,0
2015,"Nemocnice Pardubického kraje, a.s.","27520536","68011000","CZ0533","Léčebna pro dlouhodobě nemocné (LDN)",0,0,23,0,0,0,0,0,0,0,8860
2015,"Nemocnice Pardubického kraje, a.s.","27520536","68012000","CZ0533","Léčebna pro dlouhodobě nemocné (LDN)",0,0,40,0,0,0,0,0,0,0,12199
2015,"Nemocnice Pardubického kraje, a.s.","27520536","70001000","CZ0534","Nemocnice",306,26,0,0,0,0,0,0,70523,6973,0
2015,"Nemocnice Pelhřimov, příspěvková org.","00511951","35001000","CZ0633","Nemocnice",271,23,0,0,0,0,0,0,66725,6082,0
2015,"Nemocnice Pelhřimov, příspěvková org.","00511951","35040000","CZ0633","Léčebna pro dlouhodobě nemocné (LDN)",0,0,46,0,0,0,0,0,0,0,15023
2015,"Nemocnice Počátky, s.r.o.","26216701","35043000","CZ0633","Léčebna pro dlouhodobě nemocné (LDN)",0,0,120,0,0,0,0,0,0,0,37509
2015,"Nemocnice Prachatice, a.s.","26095165","37101000","CZ0315","Nemocnice",127,9,0,0,0,0,0,0,32504,2840,0
2015,"Nemocnice Písek, a.s.","26095190","36101000","CZ0314","Nemocnice",314,44,0,0,0,0,0,5,65505,8935,2683
2015,"Nemocnice Písek, a.s.","26095190","36102000","CZ0314","Léčebna pro dlouhodobě nemocné (LDN)",0,0,36,0,0,0,0,0,0,0,11927
2015,"Nemocnice Roudnice nad Labem s.r.o.","25443801","55039000","CZ0423","Nemocnice",135,8,0,0,0,0,0,0,23828,1847,0
2015,"Nemocnice Roudnice nad Labem s.r.o.","25443801","55040000","CZ0423","Léčebna pro dlouhodobě nemocné (LDN)",0,0,43,0,0,0,0,0,0,0,14342
2015,"Nemocnice Roudnice nad Labem s.r.o.","25443801","55044000","CZ0423","Nemocnice následné (ošetřovatelské) péče",0,0,0,28,0,0,0,0,0,0,7403
2015,"Nemocnice Rudolfa a Stefanie Benešov,a.s","27253236","20101000","CZ0201","Nemocnice",298,31,0,58,0,0,0,0,70159,6975,19762
2015,"Nemocnice Sokolov s.r.o.","24747246","48008000","CZ0413","Nemocnice",223,29,0,0,0,0,0,0,58365,7962,0
2015,"Nemocnice Sokolov s.r.o.","24747246","48009000","CZ0413","Léčebna pro dlouhodobě nemocné (LDN)",0,0,50,0,0,0,0,0,0,0,18347
2015,"Nemocnice Strakonice, a.s.","26095181","38001000","CZ0316","Nemocnice",245,20,0,0,0,0,0,0,54509,4957,0
2015,"Nemocnice Strakonice, a.s.","26095181","38005001","CZ0316","Léčebna pro dlouhodobě nemocné (LDN)",0,0,36,0,0,0,0,5,0,0,14908
2015,"Nemocnice Sv. Kříže Žižkov, s.r.o.","47124733","03324000","CZ0100","Nemocnice následné (ošetřovatelské) péče",0,0,0,67,0,0,0,0,0,0,18930
2015,"Nemocnice Sv. Kříže Žižkov, s.r.o.","47124733","03325000","CZ0100","Samostatné lůžkové zařízení s péčí DIP, NIOP, NIP",0,0,0,0,0,0,0,10,0,0,2271
2015,"Nemocnice TGM Hodonín, příspěvková org.","00226637","75001000","CZ0645","Nemocnice",133,24,0,0,0,0,0,0,37011,7699,0
2015,"Nemocnice TGM Hodonín, příspěvková org.","00226637","75008000","CZ0645","Nemocnice následné (ošetřovatelské) péče",0,0,0,43,0,0,0,0,0,0,10900
2015,"Nemocnice Tanvald, s. r. o.","63145766","53208000","CZ0512","Nemocnice následné (ošetřovatelské) péče",0,0,0,35,0,0,15,8,0,0,20711
2015,"Nemocnice Tanvald, s.r.o","63145766","53286000","CZ0512","Nemocnice",18,3,0,0,0,0,0,0,5644,620,0
2015,"Nemocnice Tišnov, příspěvková organizace","44947909","73005000","CZ0643","Sdružení ambulantních zařízení",25,0,0,0,0,0,0,0,6629,0,0
2015,"Nemocnice Tišnov,příspěvková organizace","44947909","73007000","CZ0643","Léčebna pro dlouhodobě nemocné (LDN)",0,0,70,0,0,0,0,0,0,0,24133
2015,"Nemocnice Tábor, a.s.","26095203","39001000","CZ0317","Nemocnice",366,31,0,0,0,0,0,0,99423,8629,0
2015,"Nemocnice Tábor, a.s.","26095203","39007000","CZ0317","Léčebna pro dlouhodobě nemocné (LDN)",0,0,69,0,0,0,0,0,0,0,23422
2015,"Nemocnice Třebotov a.s.","28061543","29003000","CZ020A","Léčebna pro dlouhodobě nemocné (LDN)",0,0,58,0,0,0,0,0,0,0,18583
2015,"Nemocnice Třebíč, příspěvková organizace","00839396","79001000","CZ0634","Nemocnice",386,36,0,0,0,0,0,0,95705,9329,0
2015,"Nemocnice Třebíč, příspěvková organizace","00839396","79003000","CZ0634","Nemocnice následné (ošetřovatelské) péče",0,0,104,0,0,0,0,5,0,0,36277
2015,"Nemocnice Třinec, příspěvková organizace","00534242","86102000","CZ0802","Nemocnice",300,31,0,20,0,0,0,0,79825,8106,2075
2015,"Nemocnice Valtice s.r.o.","63488329","74021000","CZ0644","Léčebna pro dlouhodobě nemocné (LDN)",0,0,164,0,0,0,0,0,0,0,53171
2015,"Nemocnice Varnsdorf- LDN","49888498","51303000","CZ0421","Léčebna pro dlouhodobě nemocné (LDN)",0,0,100,0,0,0,0,0,0,0,36134
2015,"Nemocnice Volyně s.r.o.","25155946","38033001","CZ0316","Léčebna pro dlouhodobě nemocné (LDN)",0,0,66,0,0,0,0,0,0,0,13512
2015,"Nemocnice Vrchlabí, s.r.o.","64827232","69003000","CZ0525","Nemocnice",54,5,0,0,0,0,8,0,10889,1832,4803
2015,"Nemocnice Vrchlabí, s.r.o.","64827232","69008000","CZ0525","Nemocnice následné (ošetřovatelské) péče",0,0,0,35,0,0,0,0,0,0,10819
2015,"Nemocnice Vršovice a.s.","28971906","10693000","CZ0100","Odborné léčebné ústavy",0,0,0,0,20,0,0,0,0,0,6874
2015,"Nemocnice Vršovice a.s.","28971906","10706000","CZ0100","Samostatné lůžkové zařízení s péčí DIP, NIOP, NIP",0,0,0,0,0,0,10,0,0,0,5526
2015,"Nemocnice Vršovice a.s.","28971906","10714000","CZ0100","Nemocnice",16,4,0,0,0,0,0,0,591,128,0
2015,"Nemocnice Vyškov, příspěvková organizace","00839205","81001000","CZ0646","Nemocnice",285,25,0,0,0,0,0,0,92702,7708,0
2015,"Nemocnice Vyškov, příspěvková organizace","00839205","81065000","CZ0646","Léčebna pro dlouhodobě nemocné (LDN)",0,0,90,0,0,0,0,0,0,0,28580
2015,"Nemocnice Znojmo,příspěvková organizace","00092584","83001000","CZ0647","Nemocnice",442,33,0,0,0,0,0,0,105803,7936,0
