Nazev,Adresa_plna,Popis,Lon,Lat,Group_ID,Marker_Color,Marker_Symbol,URL,Feature_ID,Zrizovatel,Pocet_luzek,Pocet_lekaru,Pocet_sester,Pocet_hospitalizaci,Pocet_ambulantnich_vysetreni
Nemocnice Milosrdných bratří,"Nemocnice Milosrdných bratří, Polní 553/3, 639 00 Brno, Czechia","Zřizovatel: obec 
Počet lůžek: 466 
Počet lékařů: 84 
Počet sester: 252 
Počet hospitalizací: 11764 
Počet ambulantních vyšetření: 30195",16.596756,49.184823,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=590908&typ=UPLNY,3365455122,obec,466,84,252,11764,30195
Nemocnice Milosrdných bratří,"Nemocnice Milosrdných bratří, Zlínská, 763 12 Vizovice, Czech Republic","Zřizovatel: soukromý vlastník 
Počet lůžek: 466 
Počet lékařů: 84 
Počet sester: 552 
Počet hospitalizací: 11764 
Počet ambulantních vyšetření: 30195",17.850419,49.219142,2799177597,#fb6033,,,2878689225,soukromý vlastník,466,84,552,11764,30195
Nemocnice Milosrdných sester sv. Karla Boromejského,"Nemocnice Milosrdných sester sv. Karla Boromejského, Vlašská 336/36, 118 00 Prague, Czechia","Zřizovatel: soukromý vlastník - Kongregace Milosrdných sester svatého Karla Boromejského
Počet lůžek: 190 
Počet lékařů: 58 
Počet sester: 189 
Počet hospitalizací: 4944 
Počet ambulantních vyšetření: 30864",14.39588,50.086736,1020388458,#444444,hotel,,3121824420,soukromý vlastník - Kongregace Milosrdných sester svatého Karla Boromejského,190,58,189,4944,30864
Nemocnice Most,"Nemocnice Most, J. E. Purkyně, 435 02 Most, Czechia","Zřizovatel: kraj 
Počet lůžek: 641 
Počet lékařů: 176 
Počet sester: 524 
Počet hospitalizací: 23321 
Počet ambulantních vyšetření: 358988",13.629273,50.50562,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=27885&typ=UPLNY,2872296569,kraj,641,176,524,23321,358988
Nemocnice Motol,"Nemocnice Motol, Kukulova, 162 06 Prague, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 2199 
Počet lékařů: 1279 
Počet sester: 1989 
Počet hospitalizací: 77322 
Počet ambulantních vyšetření: 1206553",14.341298,50.075313,1020388458,#444444,hotel,,3910304137,Ministerstvo zdravotnictví Počet lůžek: 2199,2199,1279,1989,77322,1206553
Nemocnice Mělník,"Nemocnice Mělník, Pražská, 276 01 Mělník, Czechia","Zřizovatel: Soukromý vlastník - VAMED MEDITERRA a.s.
Počet lůžek: 351 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: 15611 
Počet ambulantních vyšetření: 220869",14.484894,50.347508,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=448823&typ=UPLNY,2763601507,Soukromý vlastník - VAMED MEDITERRA a.s.,351,/,/,15611,220869
Nemocnice Na Bulovce,"Nemocnice Na Bulovce, Budínova, 180 00 Prague, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 995 
Počet lékařů: 475 
Počet sester: 824 
Počet hospitalizací: /
Počet ambulantních vyšetření: 574096",14.465115,50.115647,1020388458,#444444,hotel,,1779035300,Ministerstvo zdravotnictví Počet lůžek: 995,995,475,824,/,574096
Nemocnice Na Františku,"Nemocnice Na Františku, U Milosrdných, 110000 Prague, Czechia","Zřizovatel: obec 
Počet lůžek: 139 
Počet lékařů: 73 
Počet sester: 133 
Počet hospitalizací: 8000 
Počet ambulantních vyšetření: 80000",14.42153,50.09239,1020388458,#444444,hotel,,3349123127,obec,139,73,133,8000,80000
Nemocnice Na Homolce,"Nemocnice Na Homolce, Roentgenova, 169 00 Prague, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 357 
Počet lékařů: 278 
Počet sester: 701 
Počet hospitalizací: 20790 
Počet ambulantních vyšetření: 1192860",14.355147,50.074668,1020388458,#444444,hotel,,3761172129,Ministerstvo zdravotnictví Počet lůžek: 357,357,278,701,20790,1192860
Nemocnice Nový Jičín,"Nemocnice Nový Jičín, Revoluční 2214/35, 741 01 Nový Jičín, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: 405 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.017039,49.58981,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=204838&typ=UPLNY,2907959263,soukromý vlastník - AGEL a.s.,405,/,/,/,/
Nemocnice Nymburk,"Nemocnice Nymburk, Velké Valy, 288 40 Nymburk, Czechia","Zřizovatel: Obec 
Počet lůžek: 201 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.03704,50.187098,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=296469&typ=UPLNY,2903970236,Obec,201,/,/,/,/
Nemocnice Náchod,"Nemocnice Náchod, Purkyňova 446, 547 01 Náchod, Czechia","Zřizovatel: kraj 
Počet lůžek: 472 
Počet lékařů: 131 
Počet sester: 311 
Počet hospitalizací:  /
Počet ambulantních vyšetření: /",16.167472,50.410761,4105445865,#cc1b15,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=157988&typ=UPLNY,669986407,kraj,472,131,311,/,/
Nemocnice Ostrov,"Nemocnice Ostrov, U Nemocnice, 363 01 Ostrov, Czechia","Zřizovatel: soukromý vlastník - NEMOS GROUP a.s.
 Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",12.963579,50.312087,3640402910,#2a4ea1,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=214948&typ=UPLNY,1045622076,soukromý vlastník - NEMOS GROUP a.s.,/,/,/,/,/
Nemocnice Pelhřimov,"Nemocnice Pelhřimov, Slovanského bratrství, 393 01 Pelhřimov, Czechia","Zřizovatel: Kraj 
Počet lůžek: 340 
Počet lékařů: 97 
Počet sester: 280 
Počet hospitalizací: 13111 
Počet ambulantních vyšetření: 80754",15.230683,49.434597,3135952126,#3cc954,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=728637&typ=UPLNY,2930631400,Kraj,340,97,280,13111,80754
Nemocnice Podlesí,"Nemocnice Podlesí, a.s., Hraniční, 739 61 Třinec, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.641476,49.680636,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=716795&typ=UPLNY,625919195,soukromý vlastník - AGEL a.s.,/,/,/,/,/
Nemocnice Prachatice,"Nemocnice Prachatice, Nebahovská, 383 01 Prachatice, Czechia","Zřizovatel: kraj 
Počet lůžek: 146 
Počet lékařů: 58 
Počet sester: 160 
Počet hospitalizací: 6388 
Počet ambulantních vyšetření: 47000",14.010853,49.007023,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=217718&typ=UPLNY,1490050403,kraj,146,58,160,6388,47000
Nemocnice Prostějov,"Nemocnice Prostějov, Gen. Dudy, 796 04 Prostějov, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: 18191 
Počet ambulantních vyšetření:",17.08669,49.475873,465184557,,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=710208&typ=UPLNY,209623214,soukromý vlastník - AGEL a.s.,/,/,/,18191,
Nemocnice Písek,"Nemocnice Písek, a.s., Budějovická, 397 11 Písek, Czechia","Zřizovatel: kraj 
Počet lůžek: 362 
Počet lékařů: 113 
Počet sester: 397 
Počet hospitalizací: 16017 
Počet ambulantních vyšetření: 173087",14.157131,49.302129,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=712062&typ=PLATNY,4221541180,kraj,362,113,397,16017,173087
Nemocnice Přerov,"Nemocnice Přerov, Dvořákova, 750 02 Přerov, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: 14852 
Počet ambulantních vyšetření: /",17.473806,49.457475,465184557,,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=710208&typ=UPLNY,121042145,soukromý vlastník - AGEL a.s.,/,/,/,14852,/
Nemocnice Rakovník,"Nemocnice Rakovník, Dukel. hrdinů, 269 01 Rakovník, Czechia","Zřizovatel: Soukromý vlastník - PRIVAMED a.s.
Počet lůžek: 286 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: 8 778 
Počet ambulantních vyšetření: /",13.716475,50.108034,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=111974&typ=UPLNY,3814373057,Soukromý vlastník - PRIVAMED a.s.,286,/,/,8 778,/
Nemocnice Rudolfa a Stefanie Benešov,"Nemocnice Rudolfa a Stefanie Benešov, K Nemocnici, 256 01 Benešov, Czechia","Zřizovatel: Kraj 
Počet lůžek: 451 
Počet lékařů: 124 
Počet sester: 491 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.67995,49.787874,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=432793&typ=UPLNY,992789214,Kraj,451,124,491,/,/
Nemocnice Rychnov nad Kněžnou,"Nemocnice Rychnov nad Kněžnou, Jiráskova, 516 01 Rychnov nad Kněžnou, Czechia","Zřizovatel: kraj 
Počet lůžek: 255 
Počet lékařů: 64 
Počet sester: 190 
Počet hospitalizací: 11658 
Počet ambulantních vyšetření: 72102",16.269538,50.168835,4105445865,#cc1b15,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=157988&typ=UPLNY,1033060873,kraj,255,64,190,11658,72102
Nemocnice Sedlčany,"Nemocnice Sedlčany, Tyršova 161, 264 01 Sedlčany, Czechia","Zřizovatel: Soukromý vlastník - VAMED MEDITERRA a.s.
Počet lůžek: /
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.426292,49.658956,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=97402&typ=UPLNY,765542553,Soukromý vlastník - VAMED MEDITERRA a.s.,/,/,/,/,/
Nemocnice Semily,"Nemocnice Semily, 3. května, 512 01 Semily, Czechia","Zřizovatel: obec 
Počet lůžek: 119 
Počet lékařů: 31 
Počet sester: 85 
Počet hospitalizací: 3244 
Počet ambulantních vyšetření: 55027",15.353081,50.597868,3650692710,#1b8893,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=947045&typ=UPLNY,3394152135,obec,119,31,85,3244,55027
Nemocnice Slaný,"Nemocnice Slaný, Politických vězňů 576, 274 01 Slaný, Czechia","Zřizovatel: Obec 
Počet lůžek: 314 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.083972,50.234461,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=688655&typ=UPLNY,4259782040,Obec,314,/,/,/,/
Nemocnice Sokolov,"Nemocnice Sokolov, Brněnská, 356 01 Sokolov, Czechia","Zřizovatel: soukromý vlastník - NEMOS GROUP a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",12.650298,50.177923,3640402910,#2a4ea1,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=244654&typ=UPLNY,3415163007,soukromý vlastník - NEMOS GROUP a.s.,/,/,/,/,/
Nemocnice Strakonice,"Nemocnice Strakonice, Lidická, 386 01 Strakonice, Czechia","Zřizovatel: kraj 
Počet lůžek: 314 
Počet lékařů: 99 
Počet sester: 218 
Počet hospitalizací: 13500
Počet ambulantních vyšetření: /",13.907794,49.266137,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=217488&typ=UPLNY,229760117,kraj,314,99,218,13500,/
Nemocnice Svaté Zdislavy,Nemocnice Svaté Zdislavy,"Zřizovatel: Soukromý vlastník - VAMED MEDITERRA a.s.
Počet lůžek: 93 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",16.008184,49.391266,3135952126,#3cc954,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=584429&typ=UPLNY,3174201160,Soukromý vlastník - VAMED MEDITERRA a.s.,93,/,/,/,/
Nemocnice TGM Hodonín,"Nemocnice TGM Hodonín, Purkyňova 2731/11, 695 01 Hodonín, Czechia","Zřizovatel: kraj 
Počet lůžek: 200 
Počet lékařů: 61 
Počet sester: 191 
Počet hospitalizací: 8853 
Počet ambulantních vyšetření: 150243",17.144997,48.864254,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=223337&typ=UPLNY,3715749535,kraj,200,61,191,8853,150243
Nemocnice Tanvald,"Nemocnice Tanvald, Pod Špičákem, 468 41 Tanvald, Czechia","Zřizovatel: soukromý vlastník - VAMED MEDITERRA a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.301632,50.740166,3650692710,#1b8893,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=695207&typ=UPLNY,1212478127,soukromý vlastník - VAMED MEDITERRA a.s.,/,/,/,/,/
Nemocnice Teplice,"Nemocnice Teplice, Anglická, 415 03 Teplice, Czechia","Zřizovatel: kraj 
Počet lůžek: 478 
Počet lékařů: 142 
Počet sester: 398 
Počet hospitalizací: 17810 
Počet ambulantních vyšetření: 284473",13.810183,50.635806,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=27885&typ=UPLNY,3911316195,kraj,478,142,398,17810,284473
Nemocnice Tišnov,"Nemocnice Tišnov, Purkyňova 279, 666 01 Tišnov, Czechia","Zřizovatel: kraj 
Počet lůžek: 90 
Počet lékařů: 10 
Počet sester: 28 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",16.433507,49.347658,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=614350&typ=UPLNY,462977067,kraj,90,10,28,/,/
Nemocnice Tábor,"Nemocnice Tábor, a.s., Kpt. Jaroše, 390 03 Tábor, Czechia","Zřizovatel: kraj 
Počet lůžek: 466 
Počet lékařů: 142 
Počet sester: 498 
Počet hospitalizací: 20358 
Počet ambulantních vyšetření: 344004",14.652722,49.41658,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=712063&typ=UPLNY,40915492,kraj,466,142,498,20358,344004
Nemocnice Třebíč,"Nemocnice Třebíč, Purkyňovo nám., 674 01 Třebíč, Czechia","Zřizovatel: Kraj 
Počet lůžek: 422 
Počet lékařů: 178 
Počet sester: 468 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.890101,49.211979,3135952126,#3cc954,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=305947&typ=UPLNY,3476235120,Kraj,422,178,468,/,/
Nemocnice Třinec,"Nemocnice Třinec, Kaštanová, 739 94 Třinec, Czechia","Zřizovatel: kraj 
Počet lůžek: 355 
Počet lékařů: 145 
Počet sester: 613 
Počet hospitalizací: 17196 
Počet ambulantních vyšetření: 180680",18.690468,49.674566,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=258656&typ=UPLNY,3624652867,kraj,355,145,613,17196,180680
Nemocnice Valašské Meziříčí,"Nemocnice Valašské Meziříčí, U Nemocnice, 757 01 Valašské Meziříčí, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",17.97704,49.462912,2799177597,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=4980&typ=UPLNY,1508026151,soukromý vlastník - AGEL a.s.,/,/,/,/,/
Nemocnice Valtice s.r.o. Klášterní 1150,"Nemocnice Valtice s.r.o. Klášterní 1150, 691 42 Valtice, Czech Republic","Zřizovatel: soukromý vlastník 
Počet lůžek: 164 
Počet lékařů: 12 
Počet sester: / 
Počet hospitalizací: 551 
Počet ambulantních vyšetření: /",16.759129,48.743834,2451465079,#e32c31,,,2282326099,soukromý vlastník,164,12,/,551,/
Nemocnice Varnsdorf,"Nemocnice Varnsdorf, Karlova 2280, 407 47 Varnsdorf, Czechia","Zřizovatel: obec 
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.611751,50.893781,1032119212,#f1ae29,hotel,,3383300705,obec,/,/,/,/,/
Nemocnice Vimperk a.s.,"Nemocnice Vimperk a.s., Pivovarská, 385 01 Vimperk, Czech Republic","Zřizovatel: Soukromý vlastník, NEAC International lmtd
Počet lůžek: /
Počet lékařů: /
Počet sester: /
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.764363,49.056858,1652591349,#ffcc00,,,4125051,"Soukromý vlastník, NEAC International lmtd",/,/,/,/,/
Nemocnice Vrchlabí,"Nemocnice Vrchlabí, Fügnerova, 543 01 Vrchlabí, Czechia","Zřizovatel: soukromý vlastník - CRNAP LIMITED
Počet lůžek: / 
Počet lékařů: /
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.607195,50.622062,4105445865,#cc1b15,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=392687&typ=UPLNY,4253752052,soukromý vlastník - CRNAP LIMITED,/,/,/,/,/
Nemocnice Vyškov,"Nemocnice Vyškov, Purkyňova, 682 01 Vyškov, Czechia","Zřizovatel: kraj 
Počet lůžek: 363 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",16.979834,49.278112,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=607332&typ=UPLNY,2858792629,kraj,363,/,/,/,/
Nemocnice Znojmo,"Nemocnice Znojmo, MUDr. Jana Janského, 669 02 Znojmo, Czechia","Zřizovatel: kraj 
Počet lůžek: 590 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",16.050813,48.869402,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=608961&typ=UPLNY,2235907990,kraj,590,/,/,/,/
Nemocnice města Broumov,"Nemocnice města Broumov, Smetanova, 550 01 Broumov, Czechia","Zřizovatel: kraj 
Počet lůžek: 105 
Počet lékařů: 8 
Počet sester: 44 
Počet hospitalizací: /
Počet ambulantních vyšetření: /",16.334024,50.579783,4105445865,#cc1b15,hotel,,663997339,kraj,105,8,44,/,/
Nemocnice na Žižkově,"Nemocnice na Žižkově, Kubelíkova 1250/16, 130 00 Prague, Czechia","Zřizovatel: soukromý vlastník - Konvent sester alžbětinek v Praze
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.447887,50.081742,1020388458,#444444,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=587443&typ=UPLNY,3294724846,soukromý vlastník - Konvent sester alžbětinek v Praze,/,/,/,/,/
Nemocnice s poliklinikou Havířov,"Nemocnice s poliklinikou Havířov, Astronautů, 736 01 Havířov, Czechia","Zřizovatel: kraj 
Počet lůžek: 413 
Počet lékařů: 176 
Počet sester: 326 
Počet hospitalizací: 14622 
Počet ambulantních vyšetření: 273835",18.439244,49.784198,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=258561&typ=UPLNY,2459047128,kraj,413,176,326,14622,273835
Nemocnice s poliklinikou Karviná-Ráj,"Nemocnice s poliklinikou Karviná-Ráj, Vydmuchov, 735 03 Karviná, Czechia","Zřizovatel: kraj 
Počet lůžek: 511 
Počet lékařů: 123 
Počet sester: 418 
Počet hospitalizací: 17225 
Počet ambulantních vyšetření: 974627",18.549646,49.848466,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=257765&typ=UPLNY,3828443960,kraj,511,123,418,17225,974627
Nemocnice s poliklinikou Česká Lípa,"Nemocnice s poliklinikou Česká Lípa, Liberecká, 470 06 Česká Lípa, Czechia","Zřizovatel: kraj 
Počet lůžek: 488 
Počet lékařů: 121 
Počet sester: 411 
Počet hospitalizací: 18385 
Počet ambulantních vyšetření: 269473",14.549693,50.685412,3650692710,#1b8893,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=234985&typ=UPLNY,3049873578,kraj,488,121,411,18385,269473
Nemocnice sv. Alžběty,"Nemocnice sv. Alžběty, Na Slupi 448/6, 128 00 Prague, Czechia","Zřizovatel: soukromý vlastník - Konvent sester alžbětinek v Praze
Počet lůžek: 103 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.420379,50.069245,1020388458,#444444,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=392322&typ=UPLNY,826195372,soukromý vlastník - Konvent sester alžbětinek v Praze,103,/,/,/,/
Nemocnice u Sv. Jiří,"Nemocnice u Sv. Jiří, Staniční 1126/74, 312 00 Plzeň, Czechia","Zřizovatel: soukromý vlastník - Daniela Pousková, Jan Bohunčák, Václav Svrček
Počet lůžek: 35 
Počet lékařů: /
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.410797,49.752567,3591367076,#b63681,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=150024&typ=UPLNY,946526255,"soukromý vlastník - Daniela Pousková, Jan Bohunčák, Václav Svrček",35,/,/,/,/
Nemocnice České Budějovice,Nemocnice České Budějovice,"Zřizovatel: kraj 
Počet lůžek: 1477 
Počet lékařů: 538 
Počet sester: 1471 
Počet hospitalizací: 56986 
Počet ambulantních vyšetření: /",14.4694,48.960799,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=158166&typ=UPLNY,1433175689,kraj,1477,538,1471,56986,/
Nemocnice Český Krumlov,"Nemocnice Český Krumlov, Na Moráni, 381 01 Český Krumlov, Czechia","Zřizovatel: kraj 
Počet lůžek: 247 
Počet lékařů: 64 
Počet sester: 216 
Počet hospitalizací: / 
Počet ambulantních vyšetření: 117626",14.325139,48.811974,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=712061&typ=UPLNY,396158478,kraj,247,64,216,/,117626
Nemocnice Český Těšín,"Nemocnice Český Těšín, Komenského, 737 01 Český Těšín, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: 130
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.610556,49.745789,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=711206&typ=UPLNY,3516276455,soukromý vlastník - AGEL a.s.,130,/,/,/,/
Nemocnice Říčany,"Nemocnice Říčany, Smiřických 315/26, 251 01 Říčany, Czechia","Zřizovatel: Soukromý vlastník - AGEL a.s.
Počet lůžek: /
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.674839,49.995951,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=316999&typ=UPLNY,1264662565,Soukromý vlastník - AGEL a.s.,/,/,/,/,/
Nemocnice Šternberk,"Nemocnice Šternberk, Jívavská 1435/20, 785 01 Šternberk, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: /
Počet hospitalizací: 12505 
Počet ambulantních vyšetření:",17.29815,49.72246,465184557,,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=710208&typ=UPLNY,3483085097,soukromý vlastník - AGEL a.s.,/,/,/,12505,
Nemocnice Žatec,"Nemocnice Žatec, Husova, 438 01 Žatec, Czechia","Zřizovatel: obec 
Počet lůžek: 191 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.537866,50.319522,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=501867&typ=UPLNY,1888090987,obec,191,/,/,/,/
Oblastní nemocnice Jičín,"Oblastní nemocnice Jičín, Bolzanova 512, 506 42 Jičín, Czechia","Zřizovatel: kraj 
Počet lůžek: 508
 Počet lékařů: 113 
Počet sester: 394 
Počet hospitalizací: 16153 
Počet ambulantních vyšetření: 52033",15.356956,50.440112,4105445865,#cc1b15,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=158874&typ=UPLNY,1681478016,kraj,508,113,394,16153,52033
Oblastní nemocnice Kladno,"Oblastní nemocnice Kladno, U nemocnice, 272 01 Kladno, Czechia","Zřizovatel: Kraj 
Počet lůžek: 600 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",14.088396,50.140685,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=685077&typ=UPLNY,2718319774,Kraj,600,/,/,/,/
Oblastní nemocnice Kolín,"Oblastní nemocnice Kolín, a.s., Žižkova 146, 280 02 Kolín, Czechia","Zřizovatel: Kraj 
Počet lůžek: 541 
Počet lékařů: 201 
Počet sester: 566 
Počet hospitalizací: 28296 
Počet ambulantních vyšetření: 451372",15.196873,50.019127,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=685089&typ=UPLNY,1896947040,Kraj,541,201,566,28296,451372
Oblastní nemocnice Příbram,"Oblastní nemocnice Příbram, Charvátova, 261 01 Příbram, Czechia","Zřizovatel: Kraj 
Počet lůžek: 716 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: 33142 
Počet ambulantních vyšetření: 318711",14.009917,49.692498,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=157652&typ=UPLNY,3703048170,Kraj,716,/,/,33142,318711
Oblastní nemocnice Trutnov,"Oblastní nemocnice Trutnov, Maxima Gorkého 77, 541 01 Trutnov, Czechia","Zřizovatel: kraj
Počet lůžek: / 
Počet lékařů: 122 
Počet sester: 246 
Počet hospitalizací: 12795 
Počet ambulantních vyšetření: /",15.919339,50.560443,4105445865,#cc1b15,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=221396&typ=UPLNY,3589036592,kraj,/,122,246,12795,/
Okresní Nemocnice Nové Město na Moravě,"Okresní Nemocnice Nové Město na Moravě, Žďárská, 592 31 Nové Město na Moravě, Czechia","Zřizovatel: Kraj 
Počet lůžek: 457 
Počet lékařů: 162 
Počet sester: 437 
Počet hospitalizací: 19299 
Počet ambulantních vyšetření: 213096",16.062205,49.561993,3135952126,#3cc954,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=306153&typ=UPLNY,3429676512,Kraj,457,162,437,19299,213096
