Nazev,Adresa_plna,Popis,Lon,Lat,Group_ID,Marker_Color,Marker_Symbol,URL,Feature_ID,Zrizovatel,Pocet_luzek,Pocet_lekaru,Pocet_sester,Pocet_hospitalizaci,Pocet_ambulantnich_vysetreni
Karvinská hornická nemocnice a.s.,"Karvinská hornická nemocnice a.s., Zakladatelská, 735 06 Karviná, Czechia","Zřizovatel: soukromý vlastník - Milan Canibal
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.540292,49.869438,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=206474&typ=UPLNY,1386525607,soukromý vlastník - Milan Canibal,/,/,/,/,/
Klatovská nemocnice,"Klatovská nemocnice, a.s., Plzeňská 929, 339 01 Klatovy, Czechia","Zřizovatel: kraj 
Počet lůžek: 296 
Počet lékařů: 109 
Počet sester: 367 
Počet hospitalizací: 13347 
Počet ambulantních vyšetření: 150795",13.29243,49.403713,3591367076,#b63681,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=63641&typ=UPLNY,4111406426,kraj,296,109,367,13347,150795
Klaudiánova nemocnice,"Klaudiánova nemocnice, Laurinova, 293 60 Mladá Boleslav, Czechia","Zřizovatel: Kraj 
Počet lůžek: 618 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: 11708 
Počet ambulantních vyšetření: 396 049",14.910743,50.418134,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=685088&typ=UPLNY,2680047937,Kraj,618,/,/,11708,396 049
Krajská nemocnice Liberec,"Krajská nemocnice Liberec, Husova, 461 17 Liberec, Czechia","Zřizovatel: kraj 
Počet lůžek: 950 
Počet lékařů: 337 
Počet sester: 746 
Počet hospitalizací: 37566 
Počet ambulantních vyšetření: /",15.06464,50.77009,3650692710,#1b8893,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=708998&typ=UPLNY,2064669067,kraj,950,337,746,37566,/
Krajská nemocnice Tomáše Bati,"Krajská nemocnice Tomáše Bati, Havlíčkovo nábřeží, 763 14 Zlín, Czechia","Zřizovatel: kraj 
Počet lůžek: 928
Počet lékařů: 306 
Počet sester: 820 
Počet hospitalizací: 37901 
Počet ambulantních vyšetření: /",17.698492,49.22826,2799177597,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=202855&typ=UPLNY,3952580656,kraj,928,306,820,37901,/
Lužická nemocnice a poliklinika,"Lužická nemocnice a poliklinika, U nemocnice 1298/6, 408 01 Rumburk, Czechia","Zřizovatel: obec
Počet lůžek: / 
Počet lékařů: 28 
Počet sester: 83 
Počet hospitalizací: 5850 
Počet ambulantních vyšetření: 32927",14.54747,50.948712,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=40963&typ=UPLNY,2591124377,obec,/,28,83,5850,32927
Masarykova městská nemocnice v Jilemnici,"Masarykova městská nemocnice v Jilemnici, Metyšova 465, 514 01 Jilemnice, Czechia","Zřizovatel: obec 
Počet lůžek: 180 
Počet lékařů: 73 
Počet sester: 216 
Počet hospitalizací: 8991
Počet ambulantních vyšetření: /",15.498955,50.611301,3650692710,#1b8893,hotel,,1840426937,obec,180,73,216,8991,/
Masarykova nemocnice,"Masarykova nemocnice, Na Kabátě, 403 40 Ústí nad Labem, Czechia","Zřizovatel: kraj
Počet lůžek: 1106 
Počet lékařů: 423 
Počet sester: 1063 
Počet hospitalizací: 40549 
Počet ambulantních vyšetření: /",14.01912,50.680256,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=27885&typ=UPLNY,4143341545,kraj,1106,423,1063,40549,/
Mulačova nemocnice,"Mulačova nemocnice, Dvořákova, 301 00 Plzeň, Czechia","Zřizovatel: soukromý vlastník - PRIVAMED a.s.
Počet lůžek: 173 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.369789,49.727365,3591367076,#b63681,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=665290&typ=UPLNY,908120161,soukromý vlastník - PRIVAMED a.s.,173,/,/,/,/
Městská nemocnice,"Městská nemocnice, Vrchlického 1504, 544 01 Dvůr Králové nad Labem, Czechia","Zřizovatel: kraj 
Počet lůžek: / 
Počet lékařů: 26 
Počet sester: /
 Počet hospitalizací: 5017 
Počet ambulantních vyšetření: /",15.815767,50.448548,4105445865,#cc1b15,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=64113&typ=UPLNY,1462454235,kraj,/,26,/,5017,/
Městská nemocnice Hořice,"Městská nemocnice Hořice, Riegrova 655, 508 01 Hořice, Czechia","Zřizovatel: obec 
Počet lůžek: 120 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: 8520",15.639804,50.368478,4105445865,#cc1b15,hotel,,1347349604,obec,120,/,/,/,8520
