Okres,Obec,0-14_let_celkem,0-14_let_muzi,0-14_let_zeny,15-64_let_celkem,15-64_let_muzi,15-64_let_zeny,65+_let_celkem,65+_let_muzi,65+_let_zeny,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari
Okres Tachov,Planá,14.25450573,14.80509745,13.73451327,65.15565265,66.19190405,64.17699115,20.58984162,19.0029985,22.08849558,43.5719097,42.37518741,44.70212389,144.4444444
Okres Tachov,Prostiboř,13.33333333,14.39393939,12.03703704,76.66666667,76.51515152,76.85185185,10,9.090909091,11.11111111,39.43333333,38.46969697,40.61111111,75
Okres Tachov,Přimda,18.69216533,18.08118081,19.30693069,66.50215916,67.89667897,65.0990099,14.80567551,14.02214022,15.59405941,39.23596545,39.44464945,39.0259901,79.20792079
Okres Tachov,Rozvadov,13.69193154,14.80519481,12.70207852,70.29339853,69.61038961,70.90069284,16.01466993,15.58441558,16.39722864,41.78850856,41.18831169,42.3221709,116.9642857
Okres Tachov,Skapce,13.33333333,14.03508772,12.6984127,67.5,71.92982456,63.49206349,19.16666667,14.03508772,23.80952381,42.14166667,42.42982456,41.88095238,143.75
Okres Tachov,Staré Sedliště,19.12408759,18.8034188,19.46107784,67.22627737,68.66096866,65.71856287,13.64963504,12.53561254,14.82035928,38.24160584,37.54131054,38.97754491,71.3740458
Okres Tachov,Staré Sedlo,10.99656357,7.792207792,14.59854015,67.35395189,72.07792208,62.04379562,21.64948454,20.12987013,23.35766423,44.60309278,45.33766234,43.77737226,196.875
Okres Tachov,Stráž,16.56976744,14.92537313,18.46635368,68.45930233,72.18453189,64.1627543,14.97093023,12.89009498,17.37089202,39.80886628,38.81886024,40.95070423,90.35087719
Okres Tachov,Stříbro,13.63523573,14.41812564,12.90708812,66.12903226,67.58496395,64.77490421,20.23573201,17.9969104,22.31800766,43.6617866,42.03810505,45.17193487,148.4076433
Okres Tachov,Studánka,19.44444444,19.59459459,19.28571429,65.10416667,66.89189189,63.21428571,15.45138889,13.51351351,17.5,39.4375,38.8277027,40.08214286,79.46428571
Okres Tachov,Sulislav,14.28571429,12.28070175,16.36363636,65.17857143,68.42105263,61.81818182,20.53571429,19.29824561,21.81818182,43.02678571,44.18421053,41.82727273,143.75
Okres Tachov,Svojšín,20.91503268,21.12676056,20.73170732,59.04139434,57.27699531,60.56910569,20.04357298,21.59624413,18.69918699,40.15141612,40.77230047,39.61382114,95.83333333
